Objekt, Anzahl,Wert,Gewicht,LKW
"Notebook Buero 13""",0,0,0,1
"Notebook Buero 14""",0,0,0,1
Notebook outdoor,1,80,3625,1
Mobiltelefon Buero,31,930,22227,1
Mobiltelefon Outdoor,94,5640,92872,1
Mobiltelefon Heavy Duty,124,8060,151280,1
Tablet Buero klein,59,2360,82895,1
Tablet Buero gross,24,960,34920,1
Tablet outdoor klein,89,4005,150410,1
Tablet outdoor gross,247,16796,489060,1
LKW 0,LKW-Wert,38831,LKW-Gewicht,1027289
"Notebook Buero 13""",1,40,2451,2
"Notebook Buero 14""",0,0,0,2
Notebook outdoor,10,800,36250,2
Mobiltelefon Buero,28,840,20076,2
Mobiltelefon Outdoor,62,3720,61256,2
Mobiltelefon Heavy Duty,95,6175,115900,2
Tablet Buero klein,253,10120,355465,2
Tablet Buero gross,98,3920,142590,2
Tablet outdoor klein,93,4185,157170,2
Tablet outdoor gross,62,4216,122760,2
LKW 1,LKW-Wert,34016,LKW-Gewicht,1013918
Gesamtwert: ,72847,,,
